 2016-11-15 21:03:50 INFO::min_child_weight : 100
 2016-11-15 21:03:50 INFO::subsample : 0.4
 2016-11-15 21:03:50 INFO::colsample_bytree : 0.2
 2016-11-15 21:03:50 INFO::scale_pos_weight : 1
 2016-11-15 21:03:50 INFO::gamma : 0
 2016-11-15 21:03:50 INFO::objective : 1
 2016-11-15 21:03:50 INFO::base_score : 7
2016-11-15 21:06:32 INFO::model : 1
 2016-11-15 21:06:32 INFO::rmsle : 0.540620250598352
 2016-11-15 21:06:32 INFO::rmse : 1962.80681240759
 2016-11-15 21:06:32 INFO::mae : 1154.11736255685
 2016-11-15 21:06:32 INFO::nrounds : 240
 2016-11-15 21:06:32 INFO::eta : 0.1
 2016-11-15 21:06:32 INFO::max_depth : 7
 2016-11-15 21:06:32 INFO::min_child_weight : 100
 2016-11-15 21:06:32 INFO::subsample : 0.6
 2016-11-15 21:06:32 INFO::colsample_bytree : 0.2
 2016-11-15 21:06:32 INFO::scale_pos_weight : 1
 2016-11-15 21:06:32 INFO::gamma : 0
 2016-11-15 21:06:32 INFO::objective : 1
 2016-11-15 21:06:32 INFO::base_score : 7
2016-11-15 21:09:27 INFO::model : 1
 2016-11-15 21:09:27 INFO::rmsle : 0.539604816740483
 2016-11-15 21:09:27 INFO::rmse : 1960.52812797121
 2016-11-15 21:09:27 INFO::mae : 1151.76333450521
 2016-11-15 21:09:27 INFO::nrounds : 240
 2016-11-15 21:09:27 INFO::eta : 0.1
 2016-11-15 21:09:27 INFO::max_depth : 7
 2016-11-15 21:09:27 INFO::min_child_weight : 100
 2016-11-15 21:09:27 INFO::subsample : 0.8
 2016-11-15 21:09:27 INFO::colsample_bytree : 0.2
 2016-11-15 21:09:27 INFO::scale_pos_weight : 1
 2016-11-15 21:09:27 INFO::gamma : 0
 2016-11-15 21:09:27 INFO::objective : 1
 2016-11-15 21:09:27 INFO::base_score : 7
2016-11-15 21:11:50 INFO::model : 1
 2016-11-15 21:11:50 INFO::rmsle : 0.5385864701094
 2016-11-15 21:11:50 INFO::rmse : 1950.09550486219
 2016-11-15 21:11:50 INFO::mae : 1148.29244374181
 2016-11-15 21:11:50 INFO::nrounds : 240
 2016-11-15 21:11:50 INFO::eta : 0.1
 2016-11-15 21:11:50 INFO::max_depth : 7
 2016-11-15 21:11:50 INFO::min_child_weight : 100
 2016-11-15 21:11:50 INFO::subsample : 1
 2016-11-15 21:11:50 INFO::colsample_bytree : 0.2
 2016-11-15 21:11:50 INFO::scale_pos_weight : 1
 2016-11-15 21:11:50 INFO::gamma : 0
 2016-11-15 21:11:50 INFO::objective : 1
 2016-11-15 21:11:50 INFO::base_score : 7
2016-11-15 21:14:53 INFO::model : 1
 2016-11-15 21:14:53 INFO::rmsle : 0.545292428026932
 2016-11-15 21:14:53 INFO::rmse : 1984.88593072926
 2016-11-15 21:14:53 INFO::mae : 1165.63388923505
 2016-11-15 21:14:53 INFO::nrounds : 240
 2016-11-15 21:14:53 INFO::eta : 0.1
 2016-11-15 21:14:53 INFO::max_depth : 7
 2016-11-15 21:14:53 INFO::min_child_weight : 100
 2016-11-15 21:14:53 INFO::subsample : 0.2
 2016-11-15 21:14:53 INFO::colsample_bytree : 0.4
 2016-11-15 21:14:53 INFO::scale_pos_weight : 1
 2016-11-15 21:14:53 INFO::gamma : 0
 2016-11-15 21:14:53 INFO::objective : 1
 2016-11-15 21:14:53 INFO::base_score : 7
2016-11-15 21:19:10 INFO::model : 1
 2016-11-15 21:19:10 INFO::rmsle : 0.541415022278118
 2016-11-15 21:19:10 INFO::rmse : 1965.04017421388
 2016-11-15 21:19:10 INFO::mae : 1156.31483397117
 2016-11-15 21:19:10 INFO::nrounds : 240
 2016-11-15 21:19:10 INFO::eta : 0.1
 2016-11-15 21:19:10 INFO::max_depth : 7
 2016-11-15 21:19:10 INFO::min_child_weight : 100
 2016-11-15 21:19:10 INFO::subsample : 0.4
 2016-11-15 21:19:10 INFO::colsample_bytree : 0.4
 2016-11-15 21:19:10 INFO::scale_pos_weight : 1
 2016-11-15 21:19:10 INFO::gamma : 0
 2016-11-15 21:19:10 INFO::objective : 1
 2016-11-15 21:19:10 INFO::base_score : 7
2016-11-15 21:23:13 INFO::model : 1
 2016-11-15 21:23:13 INFO::rmsle : 0.539727242926162
 2016-11-15 21:23:13 INFO::rmse : 1955.16254509702
 2016-11-15 21:23:13 INFO::mae : 1152.49453687028
 2016-11-15 21:23:13 INFO::nrounds : 240
 2016-11-15 21:23:13 INFO::eta : 0.1
 2016-11-15 21:23:13 INFO::max_depth : 7
 2016-11-15 21:23:13 INFO::min_child_weight : 100
 2016-11-15 21:23:13 INFO::subsample : 0.6
 2016-11-15 21:23:13 INFO::colsample_bytree : 0.4
 2016-11-15 21:23:13 INFO::scale_pos_weight : 1
 2016-11-15 21:23:13 INFO::gamma : 0
 2016-11-15 21:23:13 INFO::objective : 1
 2016-11-15 21:23:13 INFO::base_score : 7
2016-11-15 21:26:59 INFO::model : 1
 2016-11-15 21:26:59 INFO::rmsle : 0.538945561736667
 2016-11-15 21:26:59 INFO::rmse : 1948.54407537618
 2016-11-15 21:26:59 INFO::mae : 1149.45900221731
 2016-11-15 21:26:59 INFO::nrounds : 240
 2016-11-15 21:26:59 INFO::eta : 0.1
 2016-11-15 21:26:59 INFO::max_depth : 7
 2016-11-15 21:26:59 INFO::min_child_weight : 100
 2016-11-15 21:26:59 INFO::subsample : 0.8
 2016-11-15 21:26:59 INFO::colsample_bytree : 0.4
 2016-11-15 21:26:59 INFO::scale_pos_weight : 1
 2016-11-15 21:26:59 INFO::gamma : 0
 2016-11-15 21:26:59 INFO::objective : 1
 2016-11-15 21:26:59 INFO::base_score : 7
2016-11-15 21:30:41 INFO::model : 1
 2016-11-15 21:30:41 INFO::rmsle : 0.538511408662359
 2016-11-15 21:30:41 INFO::rmse : 1952.25301943976
 2016-11-15 21:30:41 INFO::mae : 1150.27201717475
 2016-11-15 21:30:41 INFO::nrounds : 240
 2016-11-15 21:30:41 INFO::eta : 0.1
 2016-11-15 21:30:41 INFO::max_depth : 7
 2016-11-15 21:30:41 INFO::min_child_weight : 100
 2016-11-15 21:30:41 INFO::subsample : 1
 2016-11-15 21:30:41 INFO::colsample_bytree : 0.4
 2016-11-15 21:30:41 INFO::scale_pos_weight : 1
 2016-11-15 21:30:41 INFO::gamma : 0
